date,min,max,median,q1,q3,stdev,count
2020-12-12T00:00:00.000Z,1.2,53.17,2.4,1.9,5.13,9.747,299
2020-12-13T00:00:00.000Z,0,28.38,1.6,0.34,5.01,4.041,245
2020-12-14T00:00:00.000Z,1.1,55.88,2.58,1.55,5.85,10.323,79
2020-12-15T00:00:00.000Z,0.2,21.58,2.29,0.9,3.58,2.499,167
2020-12-16T00:00:00.000Z,0.2,84.47,1.58,0.9,2.29,5.186,289
2020-12-17T00:00:00.000Z,0.2,70.43,1.25,0.93,1.65,6.134,251
2020-12-18T00:00:00.000Z,0,35.65,1.77,0.5,2.95,2.997,288
2020-12-19T00:00:00.000Z,0.28,109.13,1.7,1.12,2.52,9.073,257
2020-12-20T00:00:00.000Z,0.93,39.85,2.7,2.27,3.1,3.547,130
2020-12-21T00:00:00.000Z,1.42,22.7,3.39,2.65,5.09,4.392,186
2020-12-22T00:00:00.000Z,0.85,30.3,3.16,1.75,6.88,6.067,196
2020-12-23T00:00:00.000Z,0.68,5.45,1.54,1.1,2.63,1.059,258
2020-12-24T00:00:00.000Z,1,38.38,2.25,1.63,11.25,7.038,227
2020-12-25T00:00:00.000Z,0.87,21.58,3.1,2.42,4.48,2.251,261
2020-12-26T00:00:00.000Z,0.56,16.63,2.58,2.02,2.9,1.788,145
2020-12-27T00:00:00.000Z,0.52,13.6,2.29,1.67,3.2,1.553,198
2020-12-28T00:00:00.000Z,0.35,8.6,1.98,1,3.24,1.58,272
2020-12-29T00:00:00.000Z,0.6,14.35,1.76,1.2,4.53,2.049,264
2020-12-30T00:00:00.000Z,1.05,36.22,3.88,2.5,8.85,5.315,274
2020-12-31T00:00:00.000Z,1.5,545.88,5.6,3.76,8.47,53.637,277
2021-01-01T00:00:00.000Z,1.3,42.53,2.84,1.95,10.01,6.648,276
2021-01-02T00:00:00.000Z,1.35,71.06,3.8,2.22,14.05,12.913,262
2021-01-03T00:00:00.000Z,1.33,544.41,4.78,3.08,9.93,39.261,247
2021-01-04T00:00:00.000Z,0.73,43.53,1.8,1.42,2.44,3.442,201
2021-01-05T00:00:00.000Z,0.4,14.35,2,1,6.6,3.472,218
2021-01-06T00:00:00.000Z,1.4,31.08,7.4,3.61,18.02,7.572,253
2021-01-07T00:00:00.000Z,0.93,29.77,8.72,3.78,12.45,4.708,262
2021-01-08T00:00:00.000Z,0.75,42.55,3.03,1.77,6.15,6.531,243
2021-01-09T00:00:00.000Z,1.27,18.1,4.22,3.09,7.56,2.872,253
2021-01-10T00:00:00.000Z,1.05,86.1,4.05,2.63,5.07,8.365,262
2021-01-11T00:00:00.000Z,0.2,5.75,1.7,1.24,2.34,1.014,249
2021-01-12T00:00:00.000Z,0.1,73.22,2.25,1.33,12.07,11.517,270
2021-01-13T00:00:00.000Z,0.1,33.42,1.3,0.5,3.72,7.711,266
2021-01-14T00:00:00.000Z,0.2,10.35,1.75,1.05,4.05,2.045,259
2021-01-15T00:00:00.000Z,0.2,45.53,4.96,1.75,6.82,6.415,274
2021-01-16T00:00:00.000Z,0,10.5,3.42,2.44,4.88,2.216,264
2021-01-17T00:00:00.000Z,1.33,136.82,2.4,2.1,3.55,8.858,238
2021-01-18T00:00:00.000Z,0.3,9.69,1.6,1.17,2.04,1.703,161
2021-01-19T00:00:00.000Z,0.1,12.52,0.69,0.3,1.1,1.707,90
2021-01-20T00:00:00.000Z,0.32,26.25,2.4,1.3,7.38,3.834,200
2021-01-21T00:00:00.000Z,0.2,7.9,1.3,0.73,4.38,2.129,190
2021-01-22T00:00:00.000Z,1.2,29.08,3.79,2.97,7.32,4.253,250
2021-01-23T00:00:00.000Z,0.75,46.03,5.5,2.02,9.22,10.04,177
2021-01-24T00:00:00.000Z,1.12,42.58,10.7,6.65,14.57,6.494,231
